2009-11-25 01:40:59 install mktemp <none> 1.5-9
2009-11-25 01:40:59 status half-installed mktemp 1.5-9
2009-11-25 01:40:59 status unpacked mktemp 1.5-9
2009-11-25 01:40:59 status unpacked mktemp 1.5-9
2009-11-25 01:40:59 install ncurses-base <none> 5.7+20081213-1
2009-11-25 01:40:59 status half-installed ncurses-base 5.7+20081213-1
2009-11-25 01:40:59 status unpacked ncurses-base 5.7+20081213-1
2009-11-25 01:40:59 status unpacked ncurses-base 5.7+20081213-1
2009-11-25 01:40:59 install procps <none> 1:3.2.7-11
2009-11-25 01:40:59 status half-installed procps 1:3.2.7-11
2009-11-25 01:40:59 status unpacked procps 1:3.2.7-11
2009-11-25 01:40:59 status unpacked procps 1:3.2.7-11
2009-11-25 01:40:59 install sed <none> 4.1.5-6
2009-11-25 01:40:59 status half-installed sed 4.1.5-6
2009-11-25 01:40:59 status unpacked sed 4.1.5-6
2009-11-25 01:40:59 status unpacked sed 4.1.5-6
2009-11-25 01:40:59 install sysvinit-utils <none> 2.86.ds1-61
2009-11-25 01:40:59 status half-installed sysvinit-utils 2.86.ds1-61
2009-11-25 01:40:59 status unpacked sysvinit-utils 2.86.ds1-61
2009-11-25 01:40:59 status unpacked sysvinit-utils 2.86.ds1-61
2009-11-25 01:40:59 install sysv-rc <none> 2.86.ds1-61
2009-11-25 01:40:59 status half-installed sysv-rc 2.86.ds1-61
2009-11-25 01:40:59 status unpacked sysv-rc 2.86.ds1-61
2009-11-25 01:40:59 status unpacked sysv-rc 2.86.ds1-61
2009-11-25 01:40:59 install sysvinit <none> 2.86.ds1-61
2009-11-25 01:40:59 status half-installed sysvinit 2.86.ds1-61
2009-11-25 01:40:59 status unpacked sysvinit 2.86.ds1-61
2009-11-25 01:40:59 status unpacked sysvinit 2.86.ds1-61
2009-11-25 01:40:59 install tar <none> 1.20-1
2009-11-25 01:40:59 status half-installed tar 1.20-1
2009-11-25 01:40:59 status unpacked tar 1.20-1
2009-11-25 01:40:59 status unpacked tar 1.20-1
2009-11-25 01:40:59 install tzdata <none> 2009l-0lenny1
2009-11-25 01:40:59 status half-installed tzdata 2009l-0lenny1
2009-11-25 01:41:00 status unpacked tzdata 2009l-0lenny1
2009-11-25 01:41:00 status unpacked tzdata 2009l-0lenny1
2009-11-25 01:41:00 install zlib1g <none> 1:1.2.3.3.dfsg-12
2009-11-25 01:41:00 status half-installed zlib1g 1:1.2.3.3.dfsg-12
2009-11-25 01:41:00 status unpacked zlib1g 1:1.2.3.3.dfsg-12
2009-11-25 01:41:00 status unpacked zlib1g 1:1.2.3.3.dfsg-12
2009-11-25 01:41:00 install util-linux <none> 2.13.1.1-1
2009-11-25 01:41:00 status half-installed util-linux 2.13.1.1-1
2009-11-25 01:41:00 status unpacked util-linux 2.13.1.1-1
2009-11-25 01:41:00 status unpacked util-linux 2.13.1.1-1
2009-11-25 01:41:00 startup packages configure
2009-11-25 01:41:00 configure sysv-rc 2.86.ds1-61 2.86.ds1-61
2009-11-25 01:41:00 status unpacked sysv-rc 2.86.ds1-61
2009-11-25 01:41:00 status half-configured sysv-rc 2.86.ds1-61
2009-11-25 01:41:00 status installed sysv-rc 2.86.ds1-61
2009-11-25 01:41:00 configure gcc-4.2-base 4.2.4-6 4.2.4-6
2009-11-25 01:41:00 status unpacked gcc-4.2-base 4.2.4-6
2009-11-25 01:41:00 status half-configured gcc-4.2-base 4.2.4-6
2009-11-25 01:41:00 status installed gcc-4.2-base 4.2.4-6
2009-11-25 01:41:00 configure libpam-runtime 1.0.1-5+lenny1 1.0.1-5+lenny1
2009-11-25 01:41:00 status unpacked libpam-runtime 1.0.1-5+lenny1
2009-11-25 01:41:00 status unpacked libpam-runtime 1.0.1-5+lenny1
2009-11-25 01:41:00 status unpacked libpam-runtime 1.0.1-5+lenny1
